annotator,pair_key,id_query,id_dataset,main_resource,scope,supporting_field,quote,reason,relevance
humano_3,123||ea0042931-precio-final-horas-provisionales-2020,123,ea0042931-precio-final-horas-provisionales-2020,dana,,,,unrelated,false
humano_3,68||a04003003-distritos-censales1,68,a04003003-distritos-censales1,ayuntamientos,,,,unrelated,false
humano_3,10||a06004074-censo-de-ganado2,10,a06004074-censo-de-ganado2,poblacion,,,,generic,false
humano_3,150||l01280148-subvenciones-2022,150,l01280148-subvenciones-2022,ayudas,,title,Subvenciones,direct_match,true
humano_3,11||a04003003-zonas-interes-minero1,11,a04003003-zonas-interes-minero1,multas,,,,unrelated,false
humano_3,54||l01140060-gestion-de-residuos-epremasa1,54,l01140060-gestion-de-residuos-epremasa1,residuos,,title,Gestión de residuos,subtype,true
humano_3,47||l01140517-callejero1,47,l01140517-callejero1,callejero,,description,Callejero oficial del municipio,direct_match,true
humano_3,4||l01280148-cartas-de-servicios1,4,l01280148-cartas-de-servicios1,empresas,,,,unrelated,false
humano_3,84||a05003423-estancias-causadas-en-hospitales-de-canarias-segun-comunidades-y-provincias-de-residencia-2014,84,a05003423-estancias-causadas-en-hospitales-de-canarias-segun-comunidades-y-provincias-de-residencia-2014,cnae,,,,unrelated,false
humano_3,37||a09002970-instalacion-de-produccion-de-energia-electrica-datos-individualizados,37,a09002970-instalacion-de-produccion-de-energia-electrica-datos-individualizados,energia,,title,Instalación de producción de energía eléctrica,subtype,true
humano_3,140||a02002834-carreteras-informacion-geografica1,140,a02002834-carreteras-informacion-geografica1,cartografia,,description,"Información geográfica sobre carreteras, Dominio público, Puentes, zonas de afección y servidumbre",subtype,true
humano_3,113||l01140673-consumo-electrico-municipal,113,l01140673-consumo-electrico-municipal,electricidad,,description,Datos mensuales de consumo eléctrico municipal clasificado por usos principales y promedio por habitante,direct_match,true
humano_3,53||a04003003-puntos-limpio,53,a04003003-puntos-limpio,futbol,,,,unrelated,false
humano_3,103||turismo-visitas-concertadas,103,turismo-visitas-concertadas,bienes culturales,,content,postigos,subtype,true
humano_3,38||l01280148-bienestar-social-emergencia-social,38,l01280148-bienestar-social-emergencia-social,catastro,,,,unrelated,false
humano_3,45||a04003003-estaciones-bombeo-abastecimiento-abaqua1,45,a04003003-estaciones-bombeo-abastecimiento-abaqua1,incendios,,,,generic,false
humano_3,73||l01140121-alojamientos-de-turismo1,73,l01140121-alojamientos-de-turismo1,hoteles,,description,Hoteles y pensiones,direct_match,true
humano_3,100||ea0010587-emigraciones-de-extranjeros-al-extranjero-clasificadas-por-pais-de-destino-y-grupos-de-edad-identificador-api-t20-p307-a2007-l0-020922-px,100,ea0010587-emigraciones-de-extranjeros-al-extranjero-clasificadas-por-pais-de-destino-y-grupos-de-edad-identificador-api-t20-p307-a2007-l0-020922-px,inmigracion,,title,Emigraciones de extranjeros al extranjero,subtype,true
humano_3,94||u01200001-estudiantes-matriculados-por-residencia-familiar-grado-2024-2025,94,u01200001-estudiantes-matriculados-por-residencia-familiar-grado-2024-2025,colegios,,,,generic,false
humano_3,46||l02000014-gestion-de-residuos-epremasa1,46,l02000014-gestion-de-residuos-epremasa1,calidad del aire,,,,unrelated,false
humano_3,16||ea0010587-usos-del-agua-reutilizada-por-comunidades-y-ciudades-autonomas-tipo-de-uso-y-periodo-identificador-api-53452,16,ea0010587-usos-del-agua-reutilizada-por-comunidades-y-ciudades-autonomas-tipo-de-uso-y-periodo-identificador-api-53452,agua,,title,Usos del agua reutilizada,subtype,true
humano_3,142||u01200001-estudiantes-matriculados-por-dedicacion-doctorado-2024-2025,142,u01200001-estudiantes-matriculados-por-dedicacion-doctorado-2024-2025,estudiantes,,title,Estudiantes matriculados por dedicación Doctorado,direct_match,true
humano_3,71||a04003003-datos-covid-19-positividad-en-7-dias-illes-balears1,71,a04003003-datos-covid-19-positividad-en-7-dias-illes-balears1,COVID,,title,Datos COVID-19 Positividad en 7 Días,direct_match,true
