timestamp_utc,annotator,pair_key,id_query,id_dataset,main_resource,scope,supporting_field,quote,reason,relevance,notes
2026-09-08T10:40:44.015735+00:00,humano_3,123||ea0042931-precio-final-horas-provisionales-2020,123,ea0042931-precio-final-horas-provisionales-2020,dana,,,,unrelated,false,
2026-09-08T10:41:00.402343+00:00,humano_3,68||a04003003-distritos-censales1,68,a04003003-distritos-censales1,ayuntamientos,,,,unrelated,false,
2026-09-08T10:41:10.568225+00:00,humano_3,10||a06004074-censo-de-ganado2,10,a06004074-censo-de-ganado2,poblacion,,,,generic,false,
2026-09-08T13:39:16.316780+00:00,humano_3,150||l01280148-subvenciones-2022,150,l01280148-subvenciones-2022,ayudas,,title,Subvenciones,direct_match,true,
2026-09-08T10:41:29.727956+00:00,humano_3,11||a04003003-zonas-interes-minero1,11,a04003003-zonas-interes-minero1,multas,,,,unrelated,false,
2026-09-08T10:41:44.741815+00:00,humano_3,54||l01140060-gestion-de-residuos-epremasa1,54,l01140060-gestion-de-residuos-epremasa1,residuos,,title,Gestión de residuos,subtype,true,
2026-09-08T13:39:30.786200+00:00,humano_3,47||l01140517-callejero1,47,l01140517-callejero1,callejero,,description,Callejero oficial del municipio,direct_match,true,
2026-09-08T10:42:13.246342+00:00,humano_3,4||l01280148-cartas-de-servicios1,4,l01280148-cartas-de-servicios1,empresas,,,,unrelated,false,
2026-09-08T10:42:22.985839+00:00,humano_3,84||a05003423-estancias-causadas-en-hospitales-de-canarias-segun-comunidades-y-provincias-de-residencia-2014,84,a05003423-estancias-causadas-en-hospitales-de-canarias-segun-comunidades-y-provincias-de-residencia-2014,cnae,,,,unrelated,false,
2026-09-08T10:42:40.109030+00:00,humano_3,37||a09002970-instalacion-de-produccion-de-energia-electrica-datos-individualizados,37,a09002970-instalacion-de-produccion-de-energia-electrica-datos-individualizados,energia,,title,Instalación de producción de energía eléctrica,subtype,true,
2026-09-08T10:42:56.529465+00:00,humano_3,140||a02002834-carreteras-informacion-geografica1,140,a02002834-carreteras-informacion-geografica1,cartografia,,description,"Información geográfica sobre carreteras, Dominio público, Puentes, zonas de afección y servidumbre",subtype,true,
2026-09-08T10:43:12.621600+00:00,humano_3,113||l01140673-consumo-electrico-municipal,113,l01140673-consumo-electrico-municipal,electricidad,,description,Datos mensuales de consumo eléctrico municipal clasificado por usos principales y promedio por habitante,direct_match,true,
2026-09-08T10:43:19.390297+00:00,humano_3,53||a04003003-puntos-limpio,53,a04003003-puntos-limpio,futbol,,,,unrelated,false,
2026-09-08T10:44:29.244248+00:00,humano_3,103||turismo-visitas-concertadas,103,turismo-visitas-concertadas,bienes culturales,,content,postigos,subtype,true,
2026-09-08T10:44:35.819330+00:00,humano_3,38||l01280148-bienestar-social-emergencia-social,38,l01280148-bienestar-social-emergencia-social,catastro,,,,unrelated,false,
2026-09-08T10:44:47.692555+00:00,humano_3,45||a04003003-estaciones-bombeo-abastecimiento-abaqua1,45,a04003003-estaciones-bombeo-abastecimiento-abaqua1,incendios,,,,generic,false,
